ghost_speed=0.3
ghost_frightened_speed=0.3
#
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,1,2,6,6,6,6,6,6,6,6,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,7,1,
,1,6,1,1,1,1,6,1,1,1,1,1,6,1,1,6,1,1,1,1,1,6,1,1,1,1,6,1,
,1,6,1,1,1,1,6,1,1,1,1,1,6,1,1,6,1,1,1,1,1,6,1,1,1,1,6,1,
,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,
,1,6,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,6,1,
,1,6,6,6,6,6,6,1,1,6,6,6,6,1,1,6,6,6,6,1,1,6,6,6,6,6,6,1,
,1,1,1,0,1,1,6,1,1,1,1,1,6,1,1,6,1,1,1,1,1,6,1,1,0,1,1,1,
,1,1,1,0,1,1,6,1,1,1,1,1,6,1,1,6,1,1,1,1,1,6,1,1,0,1,1,1,
,1,1,1,0,1,1,6,1,1,6,6,6,6,6,6,6,6,6,6,1,1,6,1,1,0,1,1,1,
,5,0,0,0,0,0,6,1,1,6,1,1,1,0,0,1,1,1,6,1,1,6,0,0,0,0,0,5,
,5,0,0,0,0,0,6,6,6,6,1,3,3,3,3,3,3,1,6,6,6,6,0,0,0,0,0,5,
,5,0,0,0,0,0,6,1,1,6,1,1,1,1,1,1,1,1,6,1,1,6,0,0,0,0,0,5,
,1,1,1,0,1,1,6,1,1,6,6,6,6,6,6,6,6,6,6,1,1,6,1,1,0,1,1,1,
,1,1,1,0,1,1,6,1,1,6,1,1,1,1,1,1,1,1,6,1,1,6,1,1,0,1,1,1,
,1,6,6,6,6,6,6,6,6,6,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,1,
,1,6,1,1,1,1,6,1,1,1,1,1,6,1,1,6,1,1,1,1,1,6,1,1,1,1,6,1,
,1,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,6,6,6,1,
,1,1,1,6,1,1,6,1,1,6,1,1,1,1,1,1,1,1,6,1,1,6,1,1,6,1,1,1,
,1,6,6,6,6,6,6,1,1,6,6,6,6,1,1,6,6,6,6,1,1,6,6,6,6,6,6,1,
,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,
,1,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
